timestamp,equipment,process,electricity_kwh,fuel_type,fuel_quantity,production_volume,operating_hours,shift,temperature,pressure
2026-08-28 00:00:00,Robotic GMAW Heavy Welding Gantry,Welding & Joining,1.97,none,0.0,0.0,0.0,Shift C (Night),29.8,0.0
2026-08-28 00:00:00,CNC High-Definition Plasma & Laser Table,Cutting & Profiling,1.38,none,0.0,0.0,0.0,Shift C (Night),29.2,0.0
2026-08-28 00:00:00,Hydraulic Plate Bending Roll (500T),Forming & Rolling,1.8,none,0.0,0.0,0.0,Shift C (Night),28.8,0.0
2026-08-28 00:00:00,Gas-Fired Post-Weld Heat Treatment Furnace,Annealing & Stress Relief,0.7,natural_gas,0.0,0.0,0.0,Shift C (Night),31.4,0.0
2026-08-28 00:00:00,Automated Wheelabrator Blast Room,Surface Preparation,1.27,none,0.0,0.0,0.0,Shift C (Night),30.7,0.0
2026-08-28 00:00:00,Industrial Rotary Screw Air Compressor,Compressed Air Utility,22.72,none,0.0,0.0,0.0,Shift C (Night),32.0,5.95
2026-08-28 00:00:00,Dust Collector & Fume Extraction Blower,Ventilation & Environmental,35.36,none,0.0,0.0,1.0,Shift C (Night),30.0,0.49
2026-08-28 01:00:00,Robotic GMAW Heavy Welding Gantry,Welding & Joining,1.21,none,0.0,0.0,0.0,Shift C (Night),30.6,0.0
2026-08-28 01:00:00,CNC High-Definition Plasma & Laser Table,Cutting & Profiling,0.72,none,0.0,0.0,0.0,Shift C (Night),28.6,0.0
2026-08-28 01:00:00,Hydraulic Plate Bending Roll (500T),Forming & Rolling,1.16,none,0.0,0.0,0.0,Shift C (Night),30.4,0.0
2026-08-28 01:00:00,Gas-Fired Post-Weld Heat Treatment Furnace,Annealing & Stress Relief,0.74,natural_gas,0.0,0.0,0.0,Shift C (Night),31.7,0.0
2026-08-28 01:00:00,Automated Wheelabrator Blast Room,Surface Preparation,1.97,none,0.0,0.0,0.0,Shift C (Night),28.3,0.0
2026-08-28 01:00:00,Industrial Rotary Screw Air Compressor,Compressed Air Utility,25.9,none,0.0,0.0,0.0,Shift C (Night),32.0,5.95
2026-08-28 01:00:00,Dust Collector & Fume Extraction Blower,Ventilation & Environmental,33.56,none,0.0,0.0,1.0,Shift C (Night),30.1,0.51
2026-08-28 02:00:00,Robotic GMAW Heavy Welding Gantry,Welding & Joining,0.77,none,0.0,0.0,0.0,Shift C (Night),31.4,0.0
2026-08-28 02:00:00,CNC High-Definition Plasma & Laser Table,Cutting & Profiling,1.62,none,0.0,0.0,0.0,Shift C (Night),29.1,0.0
2026-08-28 02:00:00,Hydraulic Plate Bending Roll (500T),Forming & Rolling,1.6,none,0.0,0.0,0.0,Shift C (Night),30.3,0.0
2026-08-28 02:00:00,Gas-Fired Post-Weld Heat Treatment Furnace,Annealing & Stress Relief,0.98,natural_gas,0.0,0.0,0.0,Shift C (Night),31.2,0.0
2026-08-28 02:00:00,Automated Wheelabrator Blast Room,Surface Preparation,1.5,none,0.0,0.0,0.0,Shift C (Night),29.6,0.0
2026-08-28 02:00:00,Industrial Rotary Screw Air Compressor,Compressed Air Utility,23.9,none,0.0,0.0,0.0,Shift C (Night),32.0,5.95
2026-08-28 02:00:00,Dust Collector & Fume Extraction Blower,Ventilation & Environmental,34.28,none,0.0,0.0,1.0,Shift C (Night),29.9,0.5
2026-08-28 03:00:00,Robotic GMAW Heavy Welding Gantry,Welding & Joining,0.99,none,0.0,0.0,0.0,Shift C (Night),31.1,0.0
2026-08-28 03:00:00,CNC High-Definition Plasma & Laser Table,Cutting & Profiling,0.75,none,0.0,0.0,0.0,Shift C (Night),29.0,0.0
2026-08-28 03:00:00,Hydraulic Plate Bending Roll (500T),Forming & Rolling,1.3,none,0.0,0.0,0.0,Shift C (Night),30.5,0.0
2026-08-28 03:00:00,Gas-Fired Post-Weld Heat Treatment Furnace,Annealing & Stress Relief,0.79,natural_gas,0.0,0.0,0.0,Shift C (Night),28.4,0.0
2026-08-28 03:00:00,Automated Wheelabrator Blast Room,Surface Preparation,0.67,none,0.0,0.0,0.0,Shift C (Night),28.3,0.0
2026-08-28 03:00:00,Industrial Rotary Screw Air Compressor,Compressed Air Utility,24.71,none,0.0,0.0,0.0,Shift C (Night),32.0,5.95
2026-08-28 03:00:00,Dust Collector & Fume Extraction Blower,Ventilation & Environmental,35.28,none,0.0,0.0,1.0,Shift C (Night),29.9,0.51
2026-08-28 04:00:00,Robotic GMAW Heavy Welding Gantry,Welding & Joining,0.81,none,0.0,0.0,0.0,Shift C (Night),30.5,0.0
2026-08-28 04:00:00,CNC High-Definition Plasma & Laser Table,Cutting & Profiling,0.73,none,0.0,0.0,0.0,Shift C (Night),28.3,0.0
2026-08-28 04:00:00,Hydraulic Plate Bending Roll (500T),Forming & Rolling,1.65,none,0.0,0.0,0.0,Shift C (Night),31.1,0.0
2026-08-28 04:00:00,Gas-Fired Post-Weld Heat Treatment Furnace,Annealing & Stress Relief,1.71,natural_gas,0.0,0.0,0.0,Shift C (Night),28.8,0.0
2026-08-28 04:00:00,Automated Wheelabrator Blast Room,Surface Preparation,1.53,none,0.0,0.0,0.0,Shift C (Night),30.0,0.0
2026-08-28 04:00:00,Industrial Rotary Screw Air Compressor,Compressed Air Utility,23.05,none,0.0,0.0,0.0,Shift C (Night),32.0,5.95
